[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:57", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.12650091820878656, "normal_loose_rate": 0.045416019211753075, "normal_a8_rate": 0.0062155671705043086, "n_missed": 56, "missed_far": 12, "missed_loose": 8, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 3.1455232170628746, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5748765051952986, "expected": 0.7127836513040129, "transition": 0.7371512357511277}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.4274269176859704, "expected": 0.5191050126551644, "transition": 0.4647621736631407}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:57", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1603333804209634, "normal_loose_rate": 0.08270942223477892, "normal_a8_rate": 0.015397655036022037, "n_missed": 56, "missed_far": 12, "missed_loose": 9, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.9431194339392461, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5748765051952986, "expected": 0.706851843007005, "transition": 0.7422605202526407}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.4274269176859704, "expected": 0.5233729794593068, "transition": 0.480163912109631}, "auroc_hard_fused": {"zsu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:58", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.14225173047040543, "normal_loose_rate": 0.04096623816923294, "normal_a8_rate": 0.004661675377878231, "n_missed": 56, "missed_far": 9, "missed_loose": 6, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.6153940886699507, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6404835560755386, "expected": 0.7811308983642089, "transition": 0.7438442800993622}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.42184679688209015, "expected": 0.5508286359648681, "transition": 0.4639529490062419}, "auroc_hard_fused": {"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1697979940669586, "normal_loose_rate": 0.06999576211329284, "normal_a8_rate": 0.012289871450769882, "n_missed": 56, "missed_far": 6, "missed_loose": 4, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.0204699437797318, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6404835560755386, "expected": 0.7721325894832767, "transition": 0.7400097806786371}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.42184679688209015, "expected": 0.4842049934959513, "transition": 0.44337696255886416}, "auroc_hard_fused": {"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:01", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.09358666478316147, "normal_loose_rate": 0.00812261618872722, "normal_a8_rate": 7.063144511936714e-05, "n_missed": 56, "missed_far": 2, "missed_loose": 2, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 4.396894409937889, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5750599457540062, "expected": 0.7752413574770414, "transition": 0.7244959505708002}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3291010799745888, "expected": 0.4351889199245732, "transition": 0.4384623723139287}, "auroc_hard_fused": {"z
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:01", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.10156801808164995, "normal_loose_rate": 0.016174600932335075, "normal_a8_rate": 0.00014126289023873428, "n_missed": 56, "missed_far": 2, "missed_loose": 2, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.2080474111041797, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5750599457540062, "expected": 0.7942760628245873, "transition": 0.7249355316331408}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3291010799745888, "expected": 0.4723136766529863, "transition": 0.4375699563371618}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:05", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.07578754061308095, "normal_loose_rate": 0.010029665206950134, "normal_a8_rate": 0.0014126289023873428, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.7804325955734406, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5885517029750762, "expected": 0.6175860321426745, "transition": 0.7271431584491073}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.35433199891094996, "expected": 0.3556580181306659, "transition": 0.48110422611904935}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:06", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.08617036304562792, "normal_loose_rate": 0.020695013419974574, "normal_a8_rate": 0.0062155671705043086, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.8628717698683568, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5885517029750762, "expected": 0.6102196679556818, "transition": 0.730978080543931}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.35433199891094996, "expected": 0.3441599693452591, "transition": 0.48764608899958656}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:11", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.09182087865517728, "normal_loose_rate": 0.019635541743184066, "normal_a8_rate": 0.00247210057917785, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.9094295991778005, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5736368020646785, "expected": 0.6689210694161899, "transition": 0.7534677239718348}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3442771934778005, "expected": 0.4022880133912815, "transition": 0.5256493964847886}, "auroc_hard_fused": {
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:12", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.10312190987427602, "normal_loose_rate": 0.03143099307811838, "normal_a8_rate": 0.005014832603475067, "n_missed": 56, "missed_far": 3, "missed_loose": 3, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.704414125200642, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5736368020646785, "expected": 0.6872051055649695, "transition": 0.7430589516245267}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.3442771934778005, "expected": 0.4244156440016537, "transition": 0.4903397230989523}, "auroc_hard_fused": {"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.05389179262607713, "normal_loose_rate": 0.014479446249470264, "normal_a8_rate": 0.0021895747987003816, "n_missed": 56, "missed_far": 1, "missed_loose": 1, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.2332752613240419, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5773487259968664, "expected": 0.6602469515687337, "transition": 0.7410859089331748}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.36176627776825415, "expected": 0.38137421976625757, "transition": 0.4788920932952838}, "auroc_hard_fused
