[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:45", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 5, "normal_far_rate": 0.2557403008709422, "normal_loose_rate": 0.2454473475851148, "normal_a8_rate": 0.012668250197941409, "n_missed": 33, "missed_far": 11, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.3580645161290321, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6989723320158101, "expected": 0.6758242269239713, "transition": 0.7976842594745408}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5328781890046712, "expected": 0.549071745119176, "transition": 0.6075937237992574}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:45", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 5, "normal_far_rate": 0.43626286619160726, "normal_loose_rate": 0.4330958036421219, "normal_a8_rate": 0.03246239113222486, "n_missed": 33, "missed_far": 15, "missed_loose": 15, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.0495263420309124, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6989723320158101, "expected": 0.5828598000465008, "transition": 0.7980562659846548}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5328781890046712, "expected": 0.4910528206970895, "transition": 0.5961672056533717}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:45", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 5, "normal_far_rate": 0.2557403008709422, "normal_loose_rate": 0.2454473475851148, "normal_a8_rate": 0.012668250197941409, "n_missed": 33, "missed_far": 11, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.3580645161290321, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6989723320158101, "expected": 0.6758242269239713, "transition": 0.7976842594745408}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5328781890046712, "expected": 0.549071745119176, "transition": 0.6075937237992574}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:45", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 5, "normal_far_rate": 0.44418052256532065, "normal_loose_rate": 0.4410134600158353, "normal_a8_rate": 0.0332541567695962, "n_missed": 33, "missed_far": 14, "missed_loose": 14, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.9619716011098417, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6989723320158101, "expected": 0.5792606370611486, "transition": 0.7994047895838177}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5328781890046712, "expected": 0.4815906096538507, "transition": 0.5987303868726793}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:46", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 5, "normal_far_rate": 0.13222486144101345, "normal_loose_rate": 0.13143309580364212, "normal_a8_rate": 0.03721298495645289, "n_missed": 33, "missed_far": 6, "missed_loose": 6, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 1.3833515881708653, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.5848128342245988, "expected": 0.622785398744478, "transition": 0.7833992094861659}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5790154509522099, "expected": 0.6041681638519584, "transition": 0.5829201101928375}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:46", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 5, "normal_far_rate": 0.2414885193982581, "normal_loose_rate": 0.24069675376088678, "normal_a8_rate": 0.09738717339667459, "n_missed": 33, "missed_far": 6, "missed_loose": 6, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 0.7553827751196173, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.5848128342245988, "expected": 0.548356196233434, "transition": 0.7766844919786096}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5790154509522099, "expected": 0.5249490957000839, "transition": 0.5789914959875434}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:47", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 11, "normal_far_rate": 0.32066508313539194, "normal_loose_rate": 0.3143309580364212, "normal_a8_rate": 0.12430720506730007, "n_missed": 33, "missed_far": 15, "missed_loose": 15, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 1.4460728188687888, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7903743315508023, "expected": 0.7543083003952569, "transition": 0.8191583352708672}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6133429153191998, "expected": 0.6663073421966702, "transition": 0.6007905138339921}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:47", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 11, "normal_far_rate": 0.5914489311163895, "normal_loose_rate": 0.5890736342042755, "normal_a8_rate": 0.3159144893111639, "n_missed": 33, "missed_far": 17, "missed_loose": 17, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 0.8745112414467253, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7903743315508023, "expected": 0.6246919321088118, "transition": 0.8095233666589166}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6133429153191998, "expected": 0.5581267217630854, "transition": 0.5857947059528088}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:48", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 11, "normal_far_rate": 0.39667458432304037, "normal_loose_rate": 0.3903404592240697, "normal_a8_rate": 0.171021377672209, "n_missed": 33, "missed_far": 23, "missed_loose": 23, "missed_a8": 10, "missed_no_ctx": 0, "enrichment_loose": 1.7855430573483313, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8020181353173681, "expected": 0.7576098581725179, "transition": 0.8138665426644967}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.594274763444724, "expected": 0.6592645825847407, "transition": 0.5980596478620195}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:48", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 11, "normal_far_rate": 0.7252573238321457, "normal_loose_rate": 0.7205067300079177, "normal_a8_rate": 0.3475851148060174, "n_missed": 33, "missed_far": 27, "missed_loose": 27, "missed_a8": 9, "missed_no_ctx": 0, "enrichment_loose": 1.1355644355644356, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8020181353173681, "expected": 0.6443989769820971, "transition": 0.8133829342013486}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.594274763444724, "expected": 0.5763085399449035, "transition": 0.5894598155467721}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:49", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 11, "normal_far_rate": 0.30641330166270786, "normal_loose_rate": 0.3000791765637371, "normal_a8_rate": 0.1250989707046714, "n_missed": 33, "missed_far": 15, "missed_loose": 15, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 1.5147517390261453, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.794605905603348, "expected": 0.7495280167402931, "transition": 0.8139502441292722}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6235716852317643, "expected": 0.6633608815426998, "transition": 0.6022517666786442}, "auroc_hard_fuse
