[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08494208494208494, "normal_loose_rate": 0.08108108108108109, "normal_a8_rate": 0.03474903474903475, "n_missed": 25, "missed_far": 9, "missed_loose": 9, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 4.4399999999999995, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6991083030873325, "expected": 0.7099968633776941, "transition": 0.7217816014697316}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6253564547206166, "expected": 0.6481695568400772, "transition": 0.6346820809248555}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.12548262548262548, "normal_loose_rate": 0.12355212355212356, "normal_a8_rate": 0.055984555984555984, "n_missed": 25, "missed_far": 5, "missed_loose": 5, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.6187500000000001, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6991083030873325, "expected": 0.6573912264193216, "transition": 0.7035891920957118}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6253564547206166, "expected": 0.598766859344894, "transition": 0.5964547206165702}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.09073359073359073, "normal_loose_rate": 0.08687258687258688, "normal_a8_rate": 0.03088803088803089, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 5.0648888888888886, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6667562844468342, "expected": 0.7155531657480845, "transition": 0.6996908186584219}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5969171483622351, "expected": 0.7198458574181118, "transition": 0.5865125240847785}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.13706563706563707, "normal_loose_rate": 0.13513513513513514, "normal_a8_rate": 0.0444015444015444, "n_missed": 25, "missed_far": 7, "missed_loose": 7, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 2.072, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6667562844468342, "expected": 0.656002150826724, "transition": 0.7092799211363535}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5969171483622351, "expected": 0.6516377649325625, "transition": 0.6035452793834297}, "auroc_hard_fused": {"zsum_exp":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.09266409266409266, "normal_loose_rate": 0.09266409266409266, "normal_a8_rate": 0.0444015444015444, "n_missed": 25, "missed_far": 7, "missed_loose": 5, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 2.1583333333333337, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7567773446251737, "expected": 0.7042613254469686, "transition": 0.7012143209212707}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6921772639691715, "expected": 0.6366859344894027, "transition": 0.598150289017341}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1525096525096525, "normal_loose_rate": 0.1525096525096525, "normal_a8_rate": 0.08108108108108109, "n_missed": 25, "missed_far": 7, "missed_loose": 5, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.3113924050632912, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7567773446251737, "expected": 0.7081596988842586, "transition": 0.7198548191961285}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6921772639691715, "expected": 0.6361464354527938, "transition": 0.6235067437379577}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.13127413127413126, "normal_loose_rate": 0.1274131274131274, "normal_a8_rate": 0.04826254826254826, "n_missed": 25, "missed_far": 6, "missed_loose": 6, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.8836363636363636, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7320428372989202, "expected": 0.7100864811578617, "transition": 0.7271586682797866}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6851637764932563, "expected": 0.7030443159922928, "transition": 0.6377649325626205}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.222007722007722, "normal_loose_rate": 0.22007722007722008, "normal_a8_rate": 0.08687258687258688, "n_missed": 25, "missed_far": 8, "missed_loose": 8, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.4540350877192982, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7320428372989202, "expected": 0.6621409687682036, "transition": 0.7237083837433346}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6851637764932563, "expected": 0.6374566473988439, "transition": 0.6275915221579961}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:52", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14092664092664092, "normal_loose_rate": 0.13513513513513514, "normal_a8_rate": 0.05019305019305019, "n_missed": 25, "missed_far": 3, "missed_loose": 3, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.8879999999999999, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6712819823452973, "expected": 0.622081821033293, "transition": 0.7136263834744813}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.578111753371869, "expected": 0.5042774566473989, "transition": 0.6065510597302504}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:52", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.21428571428571427, "normal_loose_rate": 0.21042471042471042, "normal_a8_rate": 0.08108108108108109, "n_missed": 25, "missed_far": 3, "missed_loose": 3, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.5702752293577982, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6712819823452973, "expected": 0.5684007707129094, "transition": 0.7068154321817449}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.578111753371869, "expected": 0.4464739884393064, "transition": 0.6023121387283237}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14285714285714285, "normal_loose_rate": 0.13706563706563707, "normal_a8_rate": 0.05405405405405406, "n_missed": 25, "missed_far": 4, "missed_loose": 4, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.1673239436619718, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6610655554061926, "expected": 0.6314020701707219, "transition": 0.7106241878388673}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5558381502890174, "expected": 0.5482080924855491, "transition": 0.5946050096339114}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.23166023166023167, "normal_loose_rate": 0.22972972972972974, "normal_a8_rate": 0.09266409266409266, "n_missed": 25, "missed_far": 6, "missed_loose": 6, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.0447058823529412, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6610655554061926, "expected": 0.6169287986736568, "transition": 0.7075323744230856}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5558381502890174, "expected": 0.4972639691714836, "transition": 0.5902890173410404}, "auroc_hard_fus
