[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08494208494208494, "normal_loose_rate": 0.08108108108108109, "normal_a8_rate": 0.03474903474903475, "n_missed": 30, "missed_far": 11, "missed_loose": 11, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 4.522222222222221, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6991083030873325, "expected": 0.7099968633776941, "transition": 0.7217816014697316}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6775850995504175, "expected": 0.6861913937058446, "transition": 0.6929351316634553}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.12548262548262548, "normal_loose_rate": 0.12355212355212356, "normal_a8_rate": 0.055984555984555984, "n_missed": 30, "missed_far": 7, "missed_loose": 7, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.8885416666666666, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6991083030873325, "expected": 0.6573912264193216, "transition": 0.7035891920957118}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6775850995504175, "expected": 0.6413615928066796, "transition": 0.6609505459216442}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.09073359073359073, "normal_loose_rate": 0.08687258687258688, "normal_a8_rate": 0.03088803088803089, "n_missed": 30, "missed_far": 14, "missed_loose": 13, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 4.988148148148148, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6667562844468342, "expected": 0.7155531657480845, "transition": 0.6996908186584219}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6613359023763649, "expected": 0.7615285806037251, "transition": 0.6505459216441876}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.13706563706563707, "normal_loose_rate": 0.13513513513513514, "normal_a8_rate": 0.0444015444015444, "n_missed": 30, "missed_far": 10, "missed_loose": 9, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 2.2199999999999998, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6667562844468342, "expected": 0.656002150826724, "transition": 0.7092799211363535}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6613359023763649, "expected": 0.694412331406551, "transition": 0.6672447013487476}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.09266409266409266, "normal_loose_rate": 0.09266409266409266, "normal_a8_rate": 0.0444015444015444, "n_missed": 30, "missed_far": 11, "missed_loose": 9, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 3.2375000000000003, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7567773446251737, "expected": 0.7042613254469686, "transition": 0.7012143209212707}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7283879254977521, "expected": 0.6796403339755941, "transition": 0.6633269107257547}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.1525096525096525, "normal_loose_rate": 0.1525096525096525, "normal_a8_rate": 0.08108108108108109, "n_missed": 30, "missed_far": 11, "missed_loose": 9, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.9670886075949365, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7567773446251737, "expected": 0.7081596988842586, "transition": 0.7198548191961285}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7283879254977521, "expected": 0.6719332048811818, "transition": 0.6843288375080283}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.13127413127413126, "normal_loose_rate": 0.1274131274131274, "normal_a8_rate": 0.04826254826254826, "n_missed": 30, "missed_far": 12, "missed_loose": 11, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.8777777777777778, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7320428372989202, "expected": 0.7100864811578617, "transition": 0.7271586682797866}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.735645472061657, "expected": 0.7459858702633269, "transition": 0.69582530507386}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 0, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.222007722007722, "normal_loose_rate": 0.22007722007722008, "normal_a8_rate": 0.08687258687258688, "n_missed": 30, "missed_far": 14, "missed_loose": 14, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 2.1204678362573097, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7320428372989202, "expected": 0.6621409687682036, "transition": 0.7237083837433346}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.735645472061657, "expected": 0.6819524727039178, "transition": 0.6869621066152858}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:52", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14092664092664092, "normal_loose_rate": 0.13513513513513514, "normal_a8_rate": 0.05019305019305019, "n_missed": 30, "missed_far": 9, "missed_loose": 9, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.2199999999999998, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6712819823452973, "expected": 0.622081821033293, "transition": 0.7136263834744813}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6452151573538857, "expected": 0.5795761078998073, "transition": 0.6717405266538214}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:52", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 1, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.21428571428571427, "normal_loose_rate": 0.21042471042471042, "normal_a8_rate": 0.08108108108108109, "n_missed": 30, "missed_far": 9, "missed_loose": 9, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.4256880733944954, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6712819823452973, "expected": 0.5684007707129094, "transition": 0.7068154321817449}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6452151573538857, "expected": 0.5260115606936416, "transition": 0.6678869621066152}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "prev", "n_regimes": 16, "normal_far_rate": 0.14285714285714285, "normal_loose_rate": 0.13706563706563707, "normal_a8_rate": 0.05405405405405406, "n_missed": 30, "missed_far": 10, "missed_loose": 10, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.431924882629108, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6610655554061926, "expected": 0.6314020701707219, "transition": 0.7106241878388673}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6276814386640975, "expected": 0.6152215799614644, "transition": 0.6616570327552986}, "auroc_hard_fu
