C:\Users\apart\AppData\Roaming\Python\Python314\site-packages\torch\cuda\__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
kappa=0.0 gap=4.0 seed=0 K=3 | recon v/b/c/o = 0.500/0.500/0.491/1.000 | density = 0.582/0.739/0.556/0.520 | linrec = 0.490/0.490/0.491/1.000  [15s]
kappa=0.0 gap=4.0 seed=1 K=2 | recon v/b/c/o = 0.520/0.496/0.482/1.000 | density = 0.595/0.759/0.576/0.525 | linrec = 0.515/0.492/0.479/1.000  [29s]
kappa=0.0 gap=4.0 seed=2 K=2 | recon v/b/c/o = 0.517/0.545/0.521/1.000 | density = 0.610/0.763/0.584/0.533 | linrec = 0.509/0.540/0.517/1.000  [41s]
kappa=0.0 gap=6.0 seed=0 K=2 | recon v/b/c/o = 0.513/0.503/0.506/1.000 | density = 0.847/0.904/0.825/0.618 | linrec = 0.484/0.491/0.488/1.000  [53s]
kappa=0.0 gap=6.0 seed=1 K=2 | recon v/b/c/o = 0.549/0.503/0.506/1.000 | density = 0.829/0.915/0.828/0.599 | linrec = 0.518/0.497/0.475/1.000  [65s]
kappa=0.0 gap=6.0 seed=2 K=2 | recon v/b/c/o = 0.545/0.544/0.556/1.000 | density = 0.852/0.911/0.831/0.596 | linrec = 0.509/0.539/0.519/1.000  [77s]
kappa=0.0 gap=8.0 seed=0 K=2 | recon v/b/c/o = 0.552/0.518/0.560/1.000 | density = 0.965/0.975/0.957/0.712 | linrec = 0.481/0.492/0.488/1.000  [89s]
kappa=0.0 gap=8.0 seed=1 K=2 | recon v/b/c/o = 0.612/0.515/0.566/1.000 | density = 0.952/0.979/0.960/0.691 | linrec = 0.518/0.502/0.473/1.000  [101s]
kappa=0.0 gap=8.0 seed=2 K=2 | recon v/b/c/o = 0.605/0.554/0.613/1.000 | density = 0.963/0.982/0.958/0.703 | linrec = 0.507/0.538/0.520/1.000  [112s]
kappa=0.0 gap=12.0 seed=0 K=2 | recon v/b/c/o = 0.717/0.546/0.721/1.000 | density = 1.000/1.000/1.000/0.894 | linrec = 0.477/0.494/0.490/1.000  [124s]
kappa=0.0 gap=12.0 seed=1 K=2 | recon v/b/c/o = 0.799/0.558/0.781/1.000 | density = 0.999/1.000/1.000/0.873 | linrec = 0.517/0.508/0.472/1.000  [136s]
kappa=0.0 gap=12.0 seed=2 K=2 | recon v/b/c/o = 0.915/0.557/0.913/1.000 | density = 1.000/1.000/1.000/0.863 | linrec = 0.506/0.537/0.521/1.000  [148s]
kappa=0.5 gap=4.0 seed=0 K=4 | recon v/b/c/o = 0.518/0.556/0.999/1.000 | density = 0.497/0.787/0.490/0.535 | linrec = 0.499/0.856/0.205/0.987  [160s]
kappa=0.5 gap=4.0 seed=1 K=4 | recon v/b/c/o = 0.518/0.580/0.992/1.000 | density = 0.517/0.747/0.505/0.478 | linrec = 0.463/0.864/0.248/0.993  [172s]
kappa=0.5 gap=4.0 seed=2 K=4 | recon v/b/c/o = 0.528/0.613/0.999/1.000 | density = 0.508/0.765/0.503/0.505 | linrec = 0.501/0.875/0.237/0.991  [184s]
kappa=0.5 gap=6.0 seed=0 K=4 | recon v/b/c/o = 0.565/0.630/1.000/1.000 | density = 0.738/0.922/0.691/0.564 | linrec = 0.681/0.961/0.127/1.000  [196s]
kappa=0.5 gap=6.0 seed=1 K=4 | recon v/b/c/o = 0.593/0.727/1.000/1.000 | density = 0.762/0.902/0.734/0.546 | linrec = 0.614/0.967/0.153/1.000  [207s]
kappa=0.5 gap=6.0 seed=2 K=3 | recon v/b/c/o = 0.585/0.743/1.000/1.000 | density = 0.734/0.920/0.691/0.543 | linrec = 0.685/0.973/0.152/1.000  [217s]
kappa=0.5 gap=8.0 seed=0 K=4 | recon v/b/c/o = 0.689/0.791/1.000/1.000 | density = 0.919/0.982/0.853/0.653 | linrec = 0.845/0.995/0.088/1.000  [225s]
kappa=0.5 gap=8.0 seed=1 K=3 | recon v/b/c/o = 0.727/0.865/1.000/1.000 | density = 0.929/0.980/0.906/0.603 | linrec = 0.790/0.995/0.104/1.000  [234s]
kappa=0.5 gap=8.0 seed=2 K=2 | recon v/b/c/o = 0.681/0.879/1.000/1.000 | density = 0.888/0.986/0.840/0.630 | linrec = 0.847/0.996/0.113/1.000  [242s]
kappa=0.5 gap=12.0 seed=0 K=2 | recon v/b/c/o = 0.948/0.987/1.000/1.000 | density = 0.986/1.000/0.971/0.786 | linrec = 0.975/1.000/0.052/1.000  [251s]
kappa=0.5 gap=12.0 seed=1 K=2 | recon v/b/c/o = 0.993/0.999/1.000/1.000 | density = 0.996/1.000/0.995/0.773 | linrec = 0.968/1.000/0.061/1.000  [259s]
kappa=0.5 gap=12.0 seed=2 K=2 | recon v/b/c/o = 0.966/0.991/1.000/1.000 | density = 0.984/1.000/0.962/0.811 | linrec = 0.972/1.000/0.096/1.000  [268s]
