idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,13,3,3.404,4.509,0.769,2.696,3.765,0.129,-26.19,0.5385,0.6428,0.6884,0.5960,0.1980,0.8773,0.7722
1,0,in_cluster,0,13,3,3.642,4.281,0.794,2.918,3.765,0.129,-25.71,0.5953,0.6879,0.7151,0.6603,0.3752,0.8989,0.7722
2,0,in_cluster,0,13,3,3.693,4.043,0.810,2.905,3.765,0.129,-22.28,0.5175,0.7105,0.7365,0.6735,0.4591,0.9243,0.7722
3,0,in_cluster,0,13,3,3.487,4.054,0.800,2.725,3.765,0.129,-23.34,0.2807,0.6796,0.7296,0.5886,0.2012,0.9180,0.7875
4,0,in_cluster,0,13,3,3.517,4.283,0.782,2.778,3.765,0.129,-25.44,0.3987,0.6424,0.7129,0.6371,0.2285,0.9158,0.7875
5,0,in_cluster,0,13,11,2.978,4.558,0.853,1.811,3.995,0.095,-23.81,0.2123,0.6764,0.7261,0.5914,0.1184,0.9038,0.7722
6,0,in_cluster,0,13,11,3.401,4.215,0.895,2.328,3.995,0.095,-22.31,0.1428,0.7090,0.7415,0.6060,0.0919,0.9105,0.7722
7,0,in_cluster,0,13,11,2.753,3.226,0.847,1.710,3.995,0.095,-18.63,0.3491,0.7333,0.7541,0.5962,0.1901,0.9108,0.7722
8,0,in_cluster,0,13,11,3.071,3.493,0.804,2.439,3.995,0.095,-19.53,0.4789,0.7493,0.7705,0.7386,0.3435,0.9015,0.7875
9,0,in_cluster,0,13,3,3.151,3.696,0.710,2.792,3.765,0.129,-20.44,0.5277,0.7670,0.7924,0.7985,0.4753,0.9049,0.7950
10,0,in_cluster,0,13,11,3.348,3.888,0.818,2.539,3.995,0.095,-20.98,0.7428,0.7848,0.8082,0.8187,0.6380,0.9058,0.7693
11,0,valley,1,13,11,4.564,4.884,0.887,3.698,3.995,0.095,-25.35,0.7172,0.7426,0.7595,0.8168,0.4480,0.8928,0.7636
12,0,in_cluster,0,13,11,3.231,3.680,0.915,1.917,3.995,0.095,-20.20,0.2917,0.6315,0.6816,0.5329,0.0767,0.8896,0.7640
