idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,7,11,5.797,10.506,-0.198,4.429,5.965,0.010,-23.37,0.0016,0.0221,0.0111,0.0229,0.0079,0.1589,0.9241
1,0,in_cluster,0,6,12,4.062,8.531,-0.178,3.414,4.289,0.003,-18.79,0.0111,0.0988,0.0775,0.1447,0.2751,0.1636,0.9368
2,0,in_cluster,0,6,12,4.126,4.255,0.089,3.035,4.289,0.003,-19.04,0.0553,0.2040,0.1652,0.1557,0.4411,0.0530,0.9328
3,0,in_cluster,0,2,10,6.211,10.961,0.744,3.575,5.155,0.001,-31.41,0.0506,0.2680,0.2142,0.1028,0.5763,0.0806,0.9146
4,1,valley,1,2,9,7.409,7.516,0.584,5.296,5.624,0.000,-38.60,0.0569,0.2364,0.1771,0.1715,0.5304,0.1818,0.8964
5,1,valley,1,0,13,7.443,10.683,0.603,4.214,4.723,0.002,-41.20,0.1763,0.1470,0.1233,0.1913,0.4822,0.2609,0.9217
6,1,valley,1,0,5,9.295,11.403,0.302,4.712,6.840,0.000,-56.70,0.3051,0.0830,0.0656,0.1905,0.3099,0.2727,0.9336
7,1,off,0,5,14,11.470,13.996,-0.205,10.734,7.794,0.000,-80.66,0.2593,0.0617,0.0458,0.1763,0.1146,0.2704,0.9289
8,1,off,0,5,14,11.616,14.390,-0.262,10.971,7.794,0.000,-82.36,0.1953,0.0704,0.0625,0.1644,0.1336,0.2593,0.9289
9,1,beyond,0,14,3,13.647,17.459,1.138,6.564,6.540,0.000,-109.72,0.3787,0.3360,0.3241,0.6688,0.7439,0.2482,0.9083
10,1,off,0,14,5,17.704,20.954,-0.068,12.602,7.794,0.000,-173.32,0.3842,0.3842,0.3826,0.4609,0.6822,0.2625,0.9178
11,1,off,0,5,13,12.180,13.770,0.478,7.570,14.808,0.000,-89.06,0.3312,0.1976,0.2688,0.5304,0.1597,0.2458,0.9289
12,0,beyond,0,7,11,7.359,12.764,-0.522,5.740,5.965,0.010,-33.65,0.0071,0.0237,0.0182,0.0735,0.0269,0.1289,0.9320
13,0,in_cluster,0,7,11,6.590,12.523,-0.499,5.176,5.965,0.010,-28.29,0.0047,0.0285,0.0206,0.0941,0.0348,0.1352,0.9391
14,0,off,0,3,5,14.384,14.729,0.943,7.277,15.239,0.000,-115.81,0.3304,0.0506,0.0324,0.2016,0.3312,0.1249,0.9423
15,1,valley,1,12,6,9.185,11.461,0.931,6.154,4.289,0.003,-56.98,0.1850,0.1312,0.1233,0.2008,0.4166,0.2395,0.9415
16,1,valley,1,12,2,9.730,11.252,0.421,6.380,10.421,0.000,-62.13,0.2854,0.2506,0.2119,0.2174,0.6040,0.2553,0.9415
17,1,valley,1,2,9,9.735,10.247,0.627,6.203,5.624,0.000,-59.49,0.0901,0.3004,0.2648,0.2079,0.6237,0.2553,0.9360
18,0,off,0,9,0,9.568,10.036,0.440,6.952,5.806,0.000,-56.60,0.1881,0.2348,0.1968,0.2348,0.6949,0.1692,0.9209
19,0,in_cluster,0,0,13,5.598,8.785,0.803,3.680,4.723,0.002,-29.17,0.0253,0.1178,0.1138,0.2079,0.3945,0.0538,0.9225
20,1,in_cluster,0,15,1,5.610,11.234,-0.251,4.996,5.698,0.000,-20.70,0.0032,0.0727,0.0640,0.0846,0.0806,0.0229,0.9336
21,1,in_cluster,0,15,1,5.348,11.115,-0.349,4.563,5.698,0.000,-19.26,0.0119,0.0435,0.0364,0.0609,0.0482,0.0656,0.9360
22,1,in_cluster,0,15,7,5.844,9.558,0.231,5.968,6.871,0.000,-22.04,0.0206,0.0379,0.0285,0.0419,0.0277,0.1107,0.9336
23,1,off,0,3,14,8.638,17.462,-0.579,7.231,6.540,0.000,-49.66,0.2490,0.2625,0.3020,0.4609,0.7391,0.5059,0.9415
24,1,beyond,0,3,14,8.638,14.350,-0.446,6.149,6.540,0.000,-49.66,0.2466,0.3352,0.3407,0.3644,0.9202,0.5739,0.9447
25,1,beyond,0,3,14,8.601,13.334,-0.079,5.741,6.540,0.000,-49.35,0.4372,0.2625,0.2648,0.3929,0.9368,0.2609,0.9415
26,1,valley,1,13,5,12.097,14.208,0.193,4.609,14.808,0.000,-84.09,0.2617,0.1502,0.1534,0.3194,0.4656,0.1676,0.9399
27,1,valley,1,5,13,13.203,14.056,0.780,4.134,14.808,0.000,-102.04,0.2711,0.0877,0.0901,0.2806,0.3834,0.2609,0.9431
28,0,in_cluster,0,15,7,5.924,9.066,0.336,5.188,6.871,0.000,-22.51,0.0957,0.0759,0.0783,0.1360,0.0640,0.2672,0.9470
