idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,12,3,3.184,3.695,0.728,2.102,4.345,0.058,-22.39,0.6705,0.2640,0.2447,0.4239,0.4027,0.6840,0.4586
1,0,in_cluster,0,3,12,3.337,3.744,0.167,2.066,4.345,0.058,-21.13,0.4316,0.2717,0.2736,0.3487,0.3218,0.8035,0.4721
2,0,in_cluster,0,11,5,3.178,4.258,0.293,2.996,5.084,0.000,-27.92,0.8767,0.5954,0.5472,0.7360,0.7264,0.7360,0.4778
3,0,in_cluster,0,11,5,3.724,5.072,0.221,3.660,5.084,0.000,-29.83,0.9480,0.5645,0.5067,0.8208,0.7206,0.5222,0.4836
4,0,in_cluster,0,12,11,3.753,3.758,0.572,2.903,3.856,0.012,-29.53,0.7437,0.2852,0.2775,0.5222,0.4509,0.2081,0.4875
5,0,in_cluster,0,11,12,3.264,3.718,0.382,2.574,3.856,0.012,-28.20,0.5992,0.4470,0.4277,0.3719,0.4123,0.1850,0.4952
6,0,in_cluster,0,11,12,2.904,3.849,0.390,2.583,3.856,0.012,-27.11,0.6089,0.4624,0.4066,0.3333,0.3719,0.1830,0.5434
7,0,in_cluster,0,11,9,3.516,4.501,0.475,2.508,4.034,0.000,-29.05,0.8786,0.5915,0.5318,0.8671,0.8343,0.2139,0.6590
8,0,in_cluster,0,11,9,3.466,5.483,0.457,2.387,4.034,0.000,-28.91,0.9171,0.7803,0.7168,0.8073,0.8459,0.2909,0.6301
9,0,in_cluster,0,11,12,2.348,8.507,0.034,2.255,3.856,0.012,-25.66,0.6936,0.8304,0.7784,0.9692,0.7611,0.1310,0.6378
10,0,in_cluster,0,11,12,2.429,6.305,0.217,2.203,3.856,0.012,-25.85,0.7013,0.7495,0.7071,0.8343,0.6532,0.1407,0.6397
11,0,in_cluster,0,11,12,2.789,3.630,0.309,2.790,3.856,0.012,-26.17,0.3738,0.5549,0.5260,0.4335,0.4220,0.3892,0.5299
12,0,in_cluster,0,1,9,3.584,3.676,0.023,2.067,3.287,0.106,-22.70,0.2505,0.6532,0.6301,0.3064,0.4740,0.2582,0.5318
13,0,in_cluster,0,9,1,3.226,3.501,0.909,1.625,3.287,0.106,-22.40,0.2620,0.6146,0.5819,0.2871,0.4316,0.1599,0.5376
14,0,in_cluster,0,11,12,2.851,3.745,0.287,2.930,3.856,0.012,-23.65,0.2351,0.3565,0.3391,0.2408,0.2775,0.1773,0.5549
15,0,in_cluster,0,11,14,2.945,3.898,0.708,2.599,3.311,0.021,-20.60,0.1811,0.4432,0.3719,0.2139,0.2139,0.1522,0.5645
16,1,in_cluster,0,11,14,3.475,3.726,0.733,3.190,3.311,0.021,-21.69,0.3487,0.4432,0.4008,0.4355,0.4374,0.1908,0.5742
17,1,in_cluster,0,1,9,5.051,7.075,0.018,5.092,3.287,0.106,-29.04,0.9461,0.6050,0.6339,0.8709,0.9229,0.3584,0.5819
18,1,in_cluster,0,9,1,3.249,3.339,0.952,2.172,3.287,0.106,-21.85,0.3719,0.7630,0.7881,0.3622,0.6108,0.3218,0.5896
19,1,in_cluster,0,12,1,3.754,4.188,0.706,2.845,5.253,0.054,-25.05,0.8131,0.6763,0.6898,0.6378,0.5780,0.3680,0.5934
20,1,in_cluster,0,11,1,3.602,3.934,0.713,3.105,3.896,0.120,-24.02,0.6031,0.6166,0.6281,0.4875,0.6570,0.2582,0.6667
21,1,in_cluster,0,1,11,3.654,4.093,0.062,3.099,3.896,0.120,-22.96,0.5222,0.7013,0.6686,0.5260,0.7110,0.0520,0.7071
22,0,in_cluster,0,11,1,3.438,3.739,0.728,3.058,3.896,0.120,-16.69,0.3911,0.6320,0.5530,0.4605,0.4759,0.0135,0.6474
23,0,in_cluster,0,11,14,2.962,3.660,0.813,2.506,3.311,0.021,-20.50,0.2139,0.5530,0.5029,0.3314,0.2909,0.0347,0.5067
24,0,in_cluster,0,11,1,2.925,3.811,0.647,2.793,3.896,0.120,-17.96,0.1869,0.5761,0.5241,0.3198,0.2987,0.0636,0.4200
25,0,in_cluster,0,9,1,2.586,2.784,0.847,1.827,3.287,0.106,-20.16,0.2563,0.7341,0.7225,0.4586,0.5684,0.1252,0.4566
26,0,in_cluster,0,9,1,2.490,3.154,0.768,1.909,3.287,0.106,-21.24,0.2062,0.6936,0.6917,0.3815,0.5491,0.4335,0.4740
27,0,in_cluster,0,11,1,2.928,3.467,0.664,2.679,3.896,0.120,-15.70,0.1580,0.3931,0.3834,0.3507,0.2428,0.3680,0.4277
28,0,in_cluster,0,11,2,2.968,3.480,0.873,1.785,4.034,0.237,-15.08,0.1387,0.4528,0.4046,0.1657,0.1657,0.1965,0.4297
29,0,in_cluster,0,11,14,2.875,3.737,0.766,2.500,3.311,0.021,-18.70,0.1272,0.3988,0.3738,0.1541,0.1407,0.1291,0.4355
30,0,in_cluster,0,14,11,2.524,3.310,0.096,2.383,3.311,0.021,-20.59,0.6416,0.4085,0.4355,0.6686,0.5260,0.1060,0.4412
31,0,in_cluster,0,12,14,4.282,4.392,0.809,3.490,3.957,0.158,-27.05,0.8863,0.5857,0.5915,0.8998,0.8170,0.3526,0.4393
32,0,in_cluster,0,14,12,3.347,4.570,0.029,2.976,3.957,0.158,-23.01,0.9114,0.4990,0.4855,0.7919,0.6243,0.6089,0.4432
33,0,in_cluster,0,14,15,2.608,3.788,0.274,2.429,3.249,0.000,-20.80,0.4778,0.3353,0.3160,0.5183,0.5125,0.0116,0.4509
34,0,in_cluster,0,15,12,3.128,3.716,0.079,2.870,3.563,0.369,-24.06,0.6108,0.4933,0.4258,0.5356,0.6108,0.0328,0.4701
35,0,in_cluster,0,15,12,3.152,3.662,0.146,2.959,3.563,0.369,-24.13,0.6031,0.5299,0.4123,0.4644,0.5434,0.3083,0.5973
36,0,in_cluster,0,14,15,3.447,4.698,0.228,3.431,3.249,0.000,-23.35,0.6339,0.4489,0.3430,0.4624,0.4586,0.4547,0.6821
37,0,in_cluster,0,14,15,3.770,4.664,0.277,3.645,3.249,0.000,-24.51,0.6474,0.4644,0.3661,0.4971,0.5164,0.5877,0.6686
38,0,in_cluster,0,14,15,2.740,3.858,0.137,2.507,3.249,0.000,-21.16,0.3237,0.5010,0.3931,0.2832,0.2659,0.6378,0.5530
39,0,in_cluster,0,9,15,3.108,3.806,0.507,2.879,3.413,0.236,-26.04,0.5453,0.6050,0.4605,0.2948,0.3680,0.3372,0.3834
40,0,in_cluster,0,9,15,3.044,3.810,0.485,2.825,3.413,0.236,-25.98,0.5222,0.4971,0.3237,0.2987,0.3699,0.1869,0.3083
41,0,in_cluster,0,15,12,3.148,3.860,-0.111,2.423,3.563,0.369,-24.12,0.4162,0.3064,0.2062,0.2158,0.2832,0.1696,0.2967
42,0,in_cluster,0,15,12,2.803,3.480,-0.032,2.278,3.563,0.369,-23.10,0.3487,0.3083,0.2177,0.2447,0.2408,0.1503,0.3025
43,0,in_cluster,0,14,12,2.790,3.390,0.037,1.848,3.957,0.158,-21.28,0.6724,0.3276,0.2389,0.5125,0.4066,0.0000,0.3121
44,0,in_cluster,0,14,12,2.898,3.257,0.077,1.866,3.957,0.158,-21.59,0.6647,0.2832,0.2042,0.5318,0.4239,0.1233,0.3198
45,0,in_cluster,0,14,15,2.298,3.217,0.300,2.349,3.249,0.000,-20.03,0.3295,0.2177,0.1040,0.1561,0.1734,0.4470,0.3295
46,0,in_cluster,0,9,15,2.907,3.877,0.455,2.928,3.413,0.236,-25.95,0.4644,0.2775,0.1965,0.2717,0.3873,0.1329,0.3333
47,0,in_cluster,0,9,15,2.818,3.831,0.488,2.750,3.413,0.236,-25.74,0.4990,0.3044,0.2312,0.2775,0.3854,0.2505,0.2042
48,0,in_cluster,0,14,15,2.504,2.603,0.372,1.783,3.249,0.000,-20.42,0.3218,0.2813,0.1541,0.1426,0.1503,0.3430,0.1445
49,0,in_cluster,0,14,15,2.215,3.249,0.196,2.101,3.249,0.000,-19.85,0.3198,0.2543,0.0963,0.1407,0.1387,0.2466,0.1464
50,0,in_cluster,0,14,15,2.332,3.527,0.239,2.577,3.249,0.000,-20.12,0.3141,0.2042,0.0886,0.1040,0.1426,0.2428,0.1561
51,0,in_cluster,0,14,15,2.094,3.108,0.392,2.240,3.249,0.000,-19.59,0.6917,0.2620,0.2197,0.4701,0.3102,0.3064,0.1599
52,0,in_cluster,0,14,15,2.776,3.084,0.576,2.310,3.249,0.000,-21.19,0.8208,0.3430,0.3507,0.6435,0.4355,0.4586,0.1618
53,0,in_cluster,0,15,14,3.348,3.716,0.367,2.635,3.249,0.000,-23.01,0.4855,0.3237,0.3487,0.3738,0.2678,0.7958,0.1021
54,0,in_cluster,0,6,9,3.142,3.244,-0.135,2.345,2.506,0.856,-18.98,0.5260,0.2389,0.2408,0.4008,0.2235,0.9653,0.0694
55,0,in_cluster,0,6,9,2.540,3.023,-0.073,1.958,2.506,0.856,-17.27,0.5414,0.2081,0.2158,0.4200,0.2813,0.8073,0.0539
56,0,in_cluster,0,6,15,3.033,3.934,0.505,2.590,3.135,0.006,-18.64,0.4682,0.1561,0.1908,0.4316,0.1985,0.8882,0.0231
57,0,in_cluster,0,7,6,3.120,3.594,0.479,2.205,4.868,0.000,-19.36,0.1696,0.0867,0.0848,0.0925,0.0597,0.8015,0.0212
58,0,in_cluster,0,7,14,2.355,4.021,0.302,2.392,5.282,0.000,-15.85,0.0829,0.0674,0.0674,0.0501,0.0443,0.6763,0.0096
59,0,in_cluster,0,7,5,2.288,3.947,0.194,2.309,3.950,0.034,-13.76,0.0674,0.0520,0.0578,0.0405,0.0405,0.6667,0.0039
60,0,in_cluster,0,7,5,2.290,3.911,0.199,2.295,3.950,0.034,-15.01,0.0289,0.0328,0.0501,0.0289,0.0231,0.7303,0.0077
61,0,in_cluster,0,7,15,2.305,3.629,0.336,2.350,4.061,0.000,-16.48,0.0405,0.0212,0.0424,0.0443,0.0250,0.7784,0.0058
62,0,in_cluster,0,7,15,2.280,3.753,0.329,2.363,4.061,0.000,-15.56,0.0385,0.0231,0.0462,0.0173,0.0096,0.7881,0.0019
63,0,in_cluster,0,7,5,2.265,4.058,0.178,2.311,3.950,0.034,-14.75,0.0328,0.0462,0.0539,0.0328,0.0135,0.8401,0.0000
64,0,in_cluster,0,7,12,2.359,4.309,0.006,1.313,4.955,0.027,-17.66,0.3025,0.2004,0.2620,0.5029,0.2582,0.6956,0.0462
65,0,in_cluster,0,12,5,3.986,7.789,0.373,4.099,3.401,0.045,-33.44,0.8979,0.4875,0.5087,0.8709,0.7996,0.5125,0.0790
66,0,in_cluster,0,12,5,4.025,5.960,0.526,3.530,3.401,0.045,-33.59,0.9268,0.3603,0.2929,0.7726,0.7341,0.4817,0.0790
67,0,in_cluster,0,12,5,3.992,4.138,0.717,3.213,3.401,0.045,-28.58,0.6455,0.2293,0.0829,0.4027,0.3622,0.7399,0.0597
68,0,in_cluster,0,12,11,3.436,3.728,0.604,2.522,3.856,0.012,-28.82,0.7303,0.5087,0.4027,0.6416,0.6031,0.8613,0.1657
69,0,in_cluster,0,12,11,4.182,4.799,0.617,2.925,3.856,0.012,-33.52,0.9229,0.5780,0.4933,0.7418,0.7688,0.7033,0.3969
70,0,in_cluster,0,12,11,3.648,4.007,0.492,2.691,3.856,0.012,-28.22,0.6069,0.3102,0.2370,0.5260,0.5183,0.4605,0.5029
71,0,in_cluster,0,12,3,3.107,3.147,0.598,2.126,4.345,0.058,-20.49,0.2871,0.2794,0.2139,0.2312,0.1908,0.6705,0.4759
72,0,in_cluster,0,11,3,2.465,2.807,0.632,2.262,3.530,0.001,-19.50,0.5299,0.4682,0.4181,0.6455,0.5106,0.6513,0.4258
73,0,in_cluster,0,11,3,2.334,3.004,0.579,2.224,3.530,0.001,-20.07,0.5395,0.4451,0.4143,0.6146,0.4547,0.4971,0.3988
74,0,in_cluster,0,11,12,2.399,3.082,0.376,2.372,3.856,0.012,-24.41,0.4547,0.2582,0.2331,0.1753,0.1522,0.2042,0.3353
75,0,in_cluster,0,11,12,2.563,3.178,0.382,2.461,3.856,0.012,-24.03,0.4123,0.2466,0.2081,0.1618,0.1310,0.1734,0.2408
76,0,in_cluster,0,11,9,2.382,3.754,0.349,2.272,4.034,0.000,-25.66,0.5106,0.2697,0.2755,0.3179,0.3507,0.3507,0.2081
77,0,in_cluster,0,11,9,2.437,3.810,0.384,2.444,4.034,0.000,-25.76,0.5838,0.2505,0.2505,0.2794,0.3468,0.3314,0.1888
78,0,in_cluster,0,11,13,2.692,5.342,0.199,2.251,6.638,0.000,-26.53,0.8651,0.6782,0.6667,0.7283,0.6551,0.1618,0.4605
79,0,in_cluster,0,11,13,3.439,5.669,0.230,2.762,6.638,0.000,-28.82,0.8170,0.8324,0.8015,0.9441,0.8690,0.1445,0.4624
80,0,in_cluster,0,11,12,2.193,7.354,-0.016,2.049,3.856,0.012,-25.31,0.7206,0.6358,0.5934,0.7861,0.5915,0.3584,0.6069
81,0,in_cluster,0,11,12,2.214,4.465,0.104,2.288,3.856,0.012,-25.35,0.7245,0.4894,0.4644,0.6031,0.3796,0.2254,0.1060
82,0,in_cluster,0,1,2,3.374,3.455,0.926,2.559,3.677,0.052,-14.99,0.2524,0.3468,0.3757,0.3276,0.3603,0.0809,0.1484
83,0,in_cluster,0,1,11,2.668,3.694,0.151,2.477,3.896,0.120,-19.84,0.3622,0.3487,0.4297,0.4046,0.5029,0.1040,0.3276
84,0,in_cluster,0,1,11,2.440,2.915,0.191,2.120,3.896,0.120,-19.26,0.2486,0.3738,0.4393,0.2042,0.3353,0.0443,0.5241
85,0,in_cluster,0,2,11,3.138,3.224,0.136,2.419,4.034,0.237,-13.95,0.1715,0.3372,0.3854,0.2235,0.2736,0.0077,0.6455
86,0,in_cluster,0,11,2,3.130,3.402,0.772,2.690,4.034,0.237,-14.81,0.5048,0.3796,0.4778,0.4277,0.4836,0.0154,0.7303
87,0,in_cluster,0,1,9,3.187,3.774,-0.013,2.522,3.287,0.106,-21.36,0.4143,0.6474,0.6590,0.4181,0.6146,0.0096,0.7418
88,0,in_cluster,0,1,9,2.416,2.757,0.117,1.610,3.287,0.106,-19.20,0.2428,0.6686,0.6416,0.2967,0.4335,0.1541,0.6763
89,0,in_cluster,0,1,9,2.895,3.045,0.102,2.044,3.287,0.106,-20.47,0.2582,0.6570,0.6474,0.4933,0.5896,0.3121,0.5414
90,0,in_cluster,0,1,9,2.429,3.560,-0.057,1.461,3.287,0.106,-19.23,0.3179,0.6378,0.6358,0.3892,0.5222,0.4066,0.4066
91,0,in_cluster,0,11,2,3.063,3.070,0.932,1.565,4.034,0.237,-13.74,0.1118,0.4220,0.3796,0.1638,0.2042,0.2717,0.3430
92,0,in_cluster,0,9,1,2.383,2.613,0.821,1.302,3.287,0.106,-19.69,0.1233,0.5877,0.5645,0.1715,0.3892,0.1464,0.2620
93,0,in_cluster,0,9,11,2.202,3.766,0.194,2.373,4.034,0.000,-24.37,0.3121,0.5376,0.5337,0.3025,0.4894,0.1426,0.3064
94,0,in_cluster,0,1,11,2.509,3.195,0.154,1.819,3.896,0.120,-19.43,0.3256,0.4778,0.4316,0.1965,0.4644,0.1002,0.3642
95,0,in_cluster,0,1,11,2.656,3.142,0.145,1.703,3.896,0.120,-19.81,0.3372,0.4952,0.4759,0.2389,0.5010,0.1638,0.2466
96,0,in_cluster,0,11,2,2.789,3.234,0.821,1.788,4.034,0.237,-14.26,0.2177,0.3545,0.3642,0.2563,0.3121,0.2890,0.3507
97,0,in_cluster,0,1,9,2.741,3.340,0.103,2.440,3.287,0.106,-20.04,0.2929,0.6975,0.7091,0.3391,0.6724,0.2852,0.5164
98,0,in_cluster,0,1,9,2.823,3.584,0.065,2.634,3.287,0.106,-20.27,0.3526,0.7052,0.7129,0.3372,0.6994,0.3911,0.4374
99,0,in_cluster,0,1,11,2.157,3.788,-0.015,1.707,3.896,0.120,-18.61,0.2640,0.6185,0.6532,0.3661,0.5877,0.3738,0.2890
100,0,in_cluster,0,1,11,2.706,4.026,0.032,2.208,3.896,0.120,-19.95,0.3160,0.6397,0.6802,0.3603,0.6609,0.2216,0.4894
101,0,in_cluster,0,11,2,3.089,3.356,0.863,2.079,4.034,0.237,-14.66,0.1946,0.5106,0.5588,0.2678,0.3372,0.2640,0.6358
102,0,in_cluster,0,2,11,3.082,3.191,0.164,2.470,4.034,0.237,-13.78,0.2042,0.5241,0.5973,0.3160,0.3276,0.2755,0.7341
103,0,in_cluster,0,2,1,3.300,3.603,0.174,3.062,3.677,0.052,-14.47,0.2543,0.6166,0.6397,0.4759,0.4682,0.0906,0.7611
104,0,in_cluster,0,9,1,3.489,3.751,0.947,2.682,3.287,0.106,-23.31,0.4894,0.7842,0.7707,0.4066,0.6435,0.0925,0.7225
105,0,in_cluster,0,9,1,2.394,3.227,0.768,1.783,3.287,0.106,-21.47,0.1753,0.7418,0.7264,0.2755,0.4952,0.0944,0.6031
106,0,in_cluster,0,1,9,3.488,3.727,0.210,2.652,3.287,0.106,-22.36,0.6012,0.7168,0.6994,0.4952,0.7572,0.2177,0.5819
107,0,in_cluster,0,9,1,2.406,2.947,0.832,1.600,3.287,0.106,-20.62,0.1830,0.7360,0.7187,0.3006,0.5992,0.2543,0.5588
108,0,in_cluster,0,12,11,2.872,5.276,0.325,3.066,3.856,0.012,-29.62,0.5761,0.5607,0.5356,0.6782,0.5376,0.3256,0.5780
109,0,in_cluster,0,12,11,2.916,3.192,0.401,2.482,3.856,0.012,-27.83,0.5723,0.3757,0.3969,0.6744,0.5395,0.1484,0.5877
110,0,in_cluster,0,15,12,2.894,3.282,0.158,2.396,3.563,0.369,-23.35,0.4220,0.3160,0.3141,0.1888,0.2486,0.2274,0.5742
111,0,in_cluster,0,9,15,2.327,4.299,0.418,2.389,3.413,0.236,-25.06,0.5010,0.5164,0.5106,0.1773,0.3776,0.0231,0.5703
112,0,in_cluster,0,9,15,2.164,4.297,0.383,2.241,3.413,0.236,-24.70,0.4933,0.4721,0.4971,0.2119,0.3661,0.1387,0.5761
113,0,in_cluster,0,15,12,2.790,3.152,0.053,2.189,3.563,0.369,-23.06,0.3083,0.3006,0.3025,0.2216,0.1946,0.1156,0.5607
114,0,in_cluster,0,15,11,3.331,4.288,0.355,2.630,4.095,0.001,-24.71,0.4528,0.3198,0.3295,0.4566,0.4528,0.0771,0.5511
115,0,in_cluster,0,9,12,4.303,4.394,0.667,3.381,4.081,0.210,-31.61,0.8536,0.6089,0.6224,0.8651,0.8574,0.1888,0.5684
116,0,in_cluster,0,12,9,3.343,4.201,0.249,2.437,4.081,0.210,-30.45,0.8728,0.7572,0.7341,0.8439,0.8536,0.6339,0.5800
117,0,in_cluster,0,12,9,3.182,3.404,0.570,2.378,4.081,0.210,-25.35,0.7129,0.6802,0.6281,0.7457,0.5934,0.7457,0.5472
118,0,in_cluster,0,9,15,2.750,3.251,0.588,2.364,3.413,0.236,-24.28,0.7071,0.5723,0.4836,0.6474,0.8189,0.7245,0.6108
119,0,in_cluster,0,9,12,3.205,3.792,0.269,2.833,4.081,0.210,-27.05,0.8516,0.5472,0.4085,0.7129,0.8304,0.9364,0.6744
120,0,in_cluster,0,9,15,3.226,4.327,0.566,3.360,3.413,0.236,-27.26,0.7168,0.4759,0.3449,0.4509,0.5279,0.8170,0.6185
121,0,in_cluster,0,9,8,3.469,4.446,-0.172,2.537,3.433,0.166,-28.40,0.6320,0.5568,0.4412,0.5665,0.5414,0.6243,0.5106
122,0,in_cluster,0,9,12,2.860,4.379,0.095,2.181,4.081,0.210,-26.47,0.6493,0.6609,0.5684,0.6320,0.5511,0.4990,0.3892
123,0,in_cluster,0,12,15,3.055,3.074,0.982,1.646,3.563,0.369,-22.81,0.5954,0.3526,0.3064,0.6089,0.4470,0.4104,0.2197
124,0,in_cluster,0,6,9,2.726,3.251,-0.102,2.104,2.506,0.856,-17.76,0.4277,0.1830,0.1503,0.2100,0.2197,0.4663,0.1580
125,0,in_cluster,0,6,9,2.817,3.357,-0.172,2.118,2.506,0.856,-18.01,0.3276,0.1503,0.0944,0.1291,0.1484,0.2678,0.1002
126,0,in_cluster,0,6,15,2.714,3.380,0.415,2.414,3.135,0.006,-17.73,0.4297,0.1715,0.1291,0.4470,0.2100,0.1792,0.0674
127,0,in_cluster,0,6,9,2.950,3.863,-0.213,2.341,2.506,0.856,-18.40,0.5973,0.7457,0.7938,0.5434,0.2293,0.5838,0.9634
128,0,in_cluster,0,6,14,2.743,3.883,0.223,2.756,4.973,0.000,-17.80,0.3815,0.6744,0.7283,0.4894,0.1329,0.8844,0.9229
129,0,in_cluster,0,7,6,2.812,3.170,0.459,2.596,4.868,0.000,-17.81,0.0520,0.0482,0.0366,0.0212,0.0385,0.5588,0.0250
130,0,in_cluster,0,7,6,2.939,3.663,0.451,2.783,4.868,0.000,-15.47,0.1561,0.0424,0.0308,0.0385,0.0559,0.1368,0.0250
131,0,in_cluster,0,7,6,3.031,4.010,0.429,2.880,4.868,0.000,-14.54,0.1927,0.0193,0.0193,0.0366,0.0539,0.3854,0.0250
132,0,in_cluster,0,7,6,2.954,3.862,0.404,2.667,4.868,0.000,-13.56,0.0193,0.0096,0.0154,0.0058,0.0347,0.4239,0.0250
133,0,in_cluster,0,7,6,3.004,4.117,0.380,2.693,4.868,0.000,-13.84,0.0154,0.0173,0.0173,0.0116,0.0270,0.5279,0.0250
134,0,in_cluster,0,7,0,2.909,3.749,0.750,2.215,3.962,0.025,-12.38,0.0135,0.0289,0.0231,0.0270,0.0289,0.5356,0.0250
135,0,in_cluster,0,7,0,2.884,3.976,0.752,2.203,3.962,0.025,-13.26,0.0096,0.0250,0.0212,0.0000,0.0154,0.5453,0.0250
136,0,in_cluster,0,7,15,2.824,3.884,0.390,2.409,4.061,0.000,-12.97,0.0116,0.0077,0.0019,0.0019,0.0193,0.6416,0.0250
137,0,in_cluster,0,7,0,2.882,3.573,0.726,2.236,3.962,0.025,-11.74,0.0058,0.0116,0.0135,0.0077,0.0212,0.5915,0.0250
