[HAI s0] K=40 tiny=[5, 9, 11, 13, 20, 34] n=[2, 0, 14, 6, 14, 7] rare=[4, 6, 8, 10, 21, 22, 38] | test-normal tiny=27 rare=2743 | logN repro err=7.27e+25
   invariant shrink0     == base: True
   invariant refit0      == base: True
   invariant inflate0    == base: True
   invariant regthr_inf  == base: True
   invariant knn0        == base: True
   invariant merge0      == base: True
[HAI s1] K=40 tiny=[7, 21, 29, 38] n=[0, 10, 8, 0] rare=[8, 18, 23, 26, 33, 34] | test-normal tiny=6 rare=2282 | logN repro err=1.33e+26
   invariant shrink0     == base: True
   invariant refit0      == base: True
   invariant inflate0    == base: True
   invariant regthr_inf  == base: True
   invariant knn0        == base: True
   invariant merge0      == base: True
[HAI s2] K=40 tiny=[9, 17, 20, 25] n=[0, 15, 7, 2] rare=[0, 21, 26, 28, 34, 37, 38] | test-normal tiny=34 rare=2013 | logN repro err=1.06e+26
   invariant shrink0     == base: True
   invariant refit0      == base: True
   invariant inflate0    == base: True
   invariant regthr_inf  == base: True
   invariant knn0        == base: True
   invariant merge0      == base: True

=== HAI: seed-mean over 3 seeds (mix | near) ===
variant                               FPR tiny          FPR rare           FPR all        AUROC diff       AUROC all  gap tiny  gap rare
base()                          1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
shrink(lam=5.0)                 1.000|   0.975    0.438|   0.435   0.0800|  0.0802    0.791|   0.792   0.923|  0.922     0.025     0.003
shrink(lam=20.0)                1.000|   0.988    0.435|   0.433   0.0792|  0.0796    0.791|   0.792   0.922|  0.921     0.012     0.003
shrink(lam=100.0)               1.000|   0.988    0.433|   0.430   0.0784|  0.0790    0.787|   0.789   0.921|  0.920     0.012     0.002
shrink(lam=1000.0)              1.000|   0.988    0.430|   0.427   0.0760|  0.0762    0.778|   0.788   0.919|  0.920     0.012     0.003
refit(nmin=20,lam=5.0)          1.000|   0.920    0.442|   0.439   0.0808|  0.0813    0.791|   0.792   0.923|  0.923     0.080     0.003
refit(nmin=50,lam=5.0)          1.000|   0.920    0.442|   0.439   0.0808|  0.0813    0.791|   0.792   0.923|  0.923     0.080     0.003
refit(nmin=100,lam=5.0)         1.000|   0.920    0.442|   0.439   0.0808|  0.0813    0.792|   0.792   0.924|  0.923     0.080     0.003
refit(nmin=1000000,lam=5.0)     0.988|   0.920    0.444|   0.439   0.0819|  0.0824    0.797|   0.797   0.926|  0.925     0.068     0.005
refit(nmin=20,lam=1.0)          1.000|   0.920    0.442|   0.439   0.0808|  0.0813    0.791|   0.792   0.923|  0.923     0.080     0.003
refit(nmin=20,lam=20.0)         0.988|   0.920    0.442|   0.439   0.0808|  0.0813    0.791|   0.792   0.923|  0.923     0.068     0.003
inflate(alpha=1.0)              1.000|   1.000    0.440|   0.436   0.0801|  0.0806    0.791|   0.792   0.923|  0.922     0.000     0.004
inflate(alpha=3.0)              1.000|   0.988    0.436|   0.434   0.0792|  0.0798    0.790|   0.791   0.922|  0.922     0.012     0.002
inflate(alpha=10.0)             1.000|   1.000    0.432|   0.432   0.0772|  0.0779    0.786|   0.787   0.921|  0.921     0.000     0.001
inflate(alpha=30.0)             1.000|   1.000    0.434|   0.430   0.0757|  0.0757    0.773|   0.776   0.918|  0.918     0.000     0.004
regthr(kappa=0.0)               0.141|   0.128    0.066|   0.066   0.0510|  0.0501    0.377|   0.380   0.332|  0.333     0.012    -0.001
regthr(kappa=5.0)               0.323|   0.323    0.063|   0.063   0.0494|  0.0486    0.381|   0.384   0.350|  0.350     0.000    -0.000
regthr(kappa=20.0)              0.709|   0.573    0.057|   0.054   0.0453|  0.0441    0.416|   0.418   0.396|  0.395     0.136     0.003
regthr(kappa=100.0)             0.931|   0.922    0.161|   0.156   0.0487|  0.0485    0.571|   0.570   0.696|  0.686     0.010     0.005
knn(nmin=20,mode=replace)       1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
knn(nmin=50,mode=replace)       1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
knn(nmin=100,mode=replace)      1.000|   1.000    0.440|   0.436   0.0804|  0.0807    0.788|   0.788   0.921|  0.921     0.000     0.004
knn(nmin=20,mode=fuse)          1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
knn(nmin=20,mode=min)           1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
knn(nmin=1000000,mode=pure)     1.000|   1.000    0.451|   0.451   0.0825|  0.0825    0.791|   0.791   0.922|  0.922     0.000     0.000
merge(nmin=20,refit=False)      1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.792   0.923|  0.922     0.000     0.004
merge(nmin=20,refit=True)       1.000|   1.000    0.455|   0.446   0.0837|  0.0832    0.799|   0.798   0.927|  0.927     0.000     0.009
merge(nmin=50,refit=False)      1.000|   1.000    0.441|   0.437   0.0804|  0.0807    0.791|   0.791   0.922|  0.922     0.000     0.004
merge(nmin=50,refit=True)       1.000|   1.000    0.455|   0.446   0.0837|  0.0832    0.799|   0.799   0.928|  0.927     0.000     0.009

saved 87 rows -> E:\Projects\Backlog\LatAD\poc\_diagnostics\e2_rare_results.json
